time,cpu_percent,memory_percent,disk_percent,net_sent_kb,net_recv_kb
2025-07-04 16:17:44,27.0,65.0,6.7,724797639971,722154056751
2025-07-04 16:17:55,29.7,65.2,6.7,724847219852,722203763322
2025-07-04 16:18:06,29.7,64.9,6.7,724896236735,722252912996
2025-07-04 16:18:17,31.4,65.1,6.7,724944356409,722301163944
2025-07-04 16:18:28,29.9,65.1,6.7,724993068993,722350005769
2025-07-04 16:18:39,29.0,65.2,6.7,725042331190,722399391794
