time,pid,cpu_percent,memory_mb,read_mb,write_mb,threads,connections
2025-07-04 16:17:44,2685976,0.0,852.28,33.56,390.02,114,20
2025-07-04 16:17:55,2685976,0.0,852.12,33.56,390.29,114,20
2025-07-04 16:18:06,2685976,0.0,852.12,33.56,390.55,114,20
2025-07-04 16:18:17,2685976,0.0,851.95,33.61,390.82,114,20
2025-07-04 16:18:28,2685976,0.0,851.93,33.77,391.07,114,20
2025-07-04 16:18:39,2685976,0.0,851.93,33.77,391.33,114,20
