Timestamp,PID,Name,CPU Usage (%),Memory Usage (MB),Disk Read (Bytes),Disk Write (Bytes)
'2025-04-28 21:10:22,3968483,3DSlamPrinter,5.0,155.30078125,0,36864
'2025-04-28 21:10:25,3968483,3DSlamPrinter,5.0,155.30078125,0,40960
'2025-04-28 21:10:28,3968483,3DSlamPrinter,6.0,155.55859375,0,45056
'2025-04-28 21:10:32,3968483,3DSlamPrinter,7.0,155.55859375,0,49152
'2025-04-28 21:10:35,3968483,3DSlamPrinter,7.0,166.1015625,0,61440
'2025-04-28 21:10:38,3968483,3DSlamPrinter,9.0,183.6796875,0,73728
'2025-04-28 21:10:41,3968483,3DSlamPrinter,6.0,185.90234375,0,77824
'2025-04-28 21:10:44,3968483,3DSlamPrinter,8.0,185.90234375,0,81920
