Timestamp,PID,Name,CPU Usage (%),Memory Usage (MB),Disk Read (Bytes),Disk Write (Bytes)
'2025-04-28 21:10:22,3968653,AGVPerceptionServer,42.0,649.75,0,22233088
'2025-04-28 21:10:25,3968653,AGVPerceptionServer,42.0,664.78515625,0,24256512
'2025-04-28 21:10:28,3968653,AGVPerceptionServer,44.9,676.640625,0,26959872
'2025-04-28 21:10:32,3968653,AGVPerceptionServer,42.0,678.7578125,0,29016064
'2025-04-28 21:10:35,3968653,AGVPerceptionServer,42.9,679.703125,0,31059968
'2025-04-28 21:10:38,3968653,AGVPerceptionServer,45.9,681.1640625,0,33071104
'2025-04-28 21:10:41,3968653,AGVPerceptionServer,45.9,683.0234375,0,35102720
'2025-04-28 21:10:44,3968653,AGVPerceptionServer,49.0,683.61328125,0,37756928
