Timestamp,Name,CPU Usage (%),Memory Usage (%),Disk Usage (%),Net Read (Bytes),Net Send (Bytes)
'2025-04-28 21:10:22,system,20.8,56.7,61.7,363882512262,296840499414
'2025-04-28 21:10:25,system,18.7,56.8,61.7,363899349546,296860677757
'2025-04-28 21:10:28,system,19.7,56.9,61.7,363916518498,296881587524
'2025-04-28 21:10:31,system,19.8,57.0,61.7,363933964510,296903138991
'2025-04-28 21:10:35,system,22.9,57.6,61.7,363950615694,296922918044
'2025-04-28 21:10:38,system,25.1,58.6,61.7,363965986834,296939653417
'2025-04-28 21:10:41,system,21.4,58.7,61.7,363981416717,296956212666
'2025-04-28 21:10:44,system,27.4,58.7,61.7,363997492633,296974874001
